"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"1400000US47157007000","Census Tract 70, Shelby County, Tennessee","3324"
"1400000US47157021410","Census Tract 214.10, Shelby County, Tennessee","2890"
"1400000US47157007400","Census Tract 74, Shelby County, Tennessee","3094"
"1400000US47157020900","Census Tract 209, Shelby County, Tennessee","9886"
"1400000US47157020700","Census Tract 207, Shelby County, Tennessee","2584"
"1400000US47157020832","Census Tract 208.32, Shelby County, Tennessee","8393"
"1400000US47157021141","Census Tract 211.41, Shelby County, Tennessee","7301"
"1400000US47157021142","Census Tract 211.42, Shelby County, Tennessee","3440"
"1400000US47157021126","Census Tract 211.26, Shelby County, Tennessee","4070"
"1400000US47157021010","Census Tract 210.10, Shelby County, Tennessee","14912"
"1400000US47157020642","Census Tract 206.42, Shelby County, Tennessee","10075"
"1400000US47157020633","Census Tract 206.33, Shelby County, Tennessee","3347"
"1400000US47157020634","Census Tract 206.34, Shelby County, Tennessee","2912"
"1400000US47157021137","Census Tract 211.37, Shelby County, Tennessee","8037"
"1400000US47157020820","Census Tract 208.20, Shelby County, Tennessee","8206"
"1400000US47157020222","Census Tract 202.22, Shelby County, Tennessee","3536"
"1400000US47157020810","Census Tract 208.10, Shelby County, Tennessee","3274"
"1400000US47157021138","Census Tract 211.38, Shelby County, Tennessee","3387"
"1400000US47157021136","Census Tract 211.36, Shelby County, Tennessee","4925"
"1400000US47157021135","Census Tract 211.35, Shelby County, Tennessee","6334"
"1400000US47157021125","Census Tract 211.25, Shelby County, Tennessee","4375"
"1400000US47157021112","Census Tract 211.12, Shelby County, Tennessee","6724"
"1400000US47157020831","Census Tract 208.31, Shelby County, Tennessee","3889"
"1400000US47157020632","Census Tract 206.32, Shelby County, Tennessee","5522"
"1400000US47157020635","Census Tract 206.35, Shelby County, Tennessee","2840"
"1400000US47157021113","Census Tract 211.13, Shelby County, Tennessee","3877"
"1400000US47157021124","Census Tract 211.24, Shelby County, Tennessee","7801"
"1400000US47157020221","Census Tract 202.21, Shelby County, Tennessee","2828"
"1400000US47157020102","Census Tract 201.02, Shelby County, Tennessee","3084"
"1400000US47157020400","Census Tract 204, Shelby County, Tennessee","1118"
"1400000US47157020531","Census Tract 205.31, Shelby County, Tennessee","5803"
"1400000US47157020210","Census Tract 202.10, Shelby County, Tennessee","6292"
"1400000US47157020300","Census Tract 203, Shelby County, Tennessee","5393"
"1400000US47157020523","Census Tract 205.23, Shelby County, Tennessee","3547"
