stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1120,COVCOVNF,COVINGTON PIKE@COVINGTON WAY,STATE HWY 204 & COVINGTON PIKE,35.183283,-89.896301,,,,,,0
1121,COVELMNF,COVINGTON PIKE@ELMORE,STATE HWY 204 & COVINGTON PIKE,35.186106,-89.89615,,,,,,0
1122,COVCHINN,COVINGTON PIKE@CHISWOOD,COVINGTON PIKE & CHISWOOD ST,35.190511,-89.895731,,,,,,0
1123,RALCOVNF,RALEIGH LAGRANGE RD@COVINGTON PIKE,RALEIGH LAGRANGE RD & RAMP,35.193998,-89.896808,,,,,,0
1124,RALBATNF,RALEIGH LAGRANG@BATTLE CREEK,RALEIGH LAGRANGE RD & BATTLE CREEK DR,35.195343,-89.900039,,,,,,0
1125,RALBARNN,RALEIGH LAGRANG@BARBARA CIRCLE,RALEIGH LAGRANGE RD & W BARBARA CIR,35.196678,-89.902539,,,,,,0
1126,RALHOONF,RALEIGH LAGRANG@HOOVER,RALEIGH LAGRANGE RD & W BARBARA CIR,35.198192,-89.904851,,,,,,0
1127,RALKENWF,RALEIGH LAGRANGE@KENNEDY PARK,RALEIGH LAGRANGE RD & KENNEDY PARK,35.198957,-89.909091,,,,,,0
1128,COLSTONN,COLEMAN@STONE GATE DR,COLEMAN RD & KENNEDY PARK,35.201366,-89.912742,,,,,,0
1129,COLSTANM,COLEMAN@STAGE,,35.205675,-89.913763,,,,,,0
1130,COLMAGNN,COLEMAN@MAGEVNEY,COLEMAN RD & MAGEVNEY ST,35.206891,-89.914303,,,,,,0
1131,COLPRINN,COLEMAN@PRISCILLA,COLEMAN RD & TANBARK AVE,35.20967,-89.914574,,,,,,0
1133,COLAUSSF,COLEMAN@AUSTIN PEAY,COLEMAN RD & TANBARK AVE,35.21313,-89.916008,,,,,,0
1134,COLPRISN,COLEMAN@PRISCILLA,COLEMAN RD & LOCKWOOD CV,35.210153,-89.914751,,,,,,0
1135,COLSTASN,COLEMAN@STAGE,COLEMAN RD & STAGE RD,35.206319,-89.91426,,,,,,0
1144,COVAUSNM,COVINGTON PIKE@AUSTIN PEAY,W K SINGLETON PKWY & NEW COVINGTON PIKE,35.231309,-89.892369,,,,,,0
