from_stop_id,to_stop_id,transfer_type,min_transfer_time
3240,5797,2,534
3247,3316,2,300
3247,3317,2,300
3247,3318,2,320
3247,4692,2,300
3248,3249,2,300
3248,3315,2,300
3248,3316,2,300
3249,950,2,300
3249,951,2,533
3249,3248,2,300
3249,3311,2,335
3249,3315,2,300
3249,5748,2,364
3253,3310,2,300
3253,5191,2,300
3253,5748,2,300
3254,834,2,300
3254,953,2,877
3254,3255,2,300
3255,834,2,304
3255,953,2,751
3255,3254,2,300
3255,3308,2,300
3255,5736,2,300
3255,5749,2,326
3256,3306,2,300
3256,4306,2,300
3256,5466,2,300
3256,5749,2,300
3259,3302,2,337
3259,3303,2,511
3260,1339,2,300
3260,1340,2,300
3260,1377,2,398
3260,1379,2,300
3260,4534,2,300
3260,5100,2,300
3260,5465,2,300
